EC,all_ref_clu,know_ref_clu,new_ref_clu,new_clu_pro,all_clu_member,know_clu_member,new_clu_member,new_member_pro,sample_number,EC_1
1.1.1.1,109,3,106,97.24770642,18859,8552,10307,54.65295085,346,1
1.1.1.10,2,0,2,100,60,0,60,100,39,1
1.1.1.100,49,4,45,91.83673469,12769,3447,9322,73.00493382,327,1
1.1.1.101,1,0,1,100,378,0,378,100,151,1
1.1.1.102,8,0,8,100,2547,0,2547,100,300,1
1.1.1.107,2,0,2,100,108,0,108,100,74,1
1.1.1.108,17,4,13,76.47058824,7202,2519,4683,65.02360455,330,1
1.1.1.110,1,0,1,100,40,0,40,100,37,1
1.1.1.119,1,0,1,100,7,0,7,100,7,1
1.1.1.122,3,0,3,100,1174,0,1174,100,294,1
1.1.1.130,1,0,1,100,296,0,296,100,119,1
1.1.1.133,25,0,25,100,7197,0,7197,100,307,1
1.1.1.135,5,0,5,100,1254,0,1254,100,177,1
1.1.1.136,1,0,1,100,2788,0,2788,100,276,1
1.1.1.138,11,2,9,81.81818182,2986,485,2501,83.75753516,295,1
1.1.1.140,3,0,3,100,228,0,228,100,141,1
1.1.1.144,3,0,3,100,75,0,75,100,66,1
1.1.1.145,10,0,10,100,349,0,349,100,162,1
1.1.1.146,4,0,4,100,1504,0,1504,100,257,1
1.1.1.149,1,0,1,100,128,0,128,100,34,1
1.1.1.157,30,6,24,80,15284,10961,4323,28.2844805,323,1
1.1.1.16,2,0,2,100,263,0,263,100,159,1
1.1.1.163,1,0,1,100,55,0,55,100,45,1
1.1.1.169,39,0,39,100,4458,0,4458,100,308,1
1.1.1.17,2,1,1,50,431,270,161,37.3549884,197,1
1.1.1.170,9,0,9,100,505,0,505,100,179,1
1.1.1.179,9,0,9,100,3508,0,3508,100,309,1
1.1.1.18,4,0,4,100,4526,0,4526,100,303,1
1.1.1.192,1,0,1,100,1027,0,1027,100,204,1
1.1.1.193,46,0,46,100,30869,0,30869,100,340,1
1.1.1.195,2,0,2,100,185,0,185,100,121,1
1.1.1.2,3,0,3,100,523,0,523,100,153,1
1.1.1.200,1,0,1,100,39,0,39,100,35,1
1.1.1.203,1,0,1,100,12,0,12,100,11,1
1.1.1.205,14,14,0,0,31627,31627,0,0,339,1
1.1.1.211,6,0,6,100,5268,0,5268,100,311,1
1.1.1.212,1,1,0,0,1715,1715,0,0,287,1
1.1.1.215,72,0,72,100,20737,0,20737,100,345,1
1.1.1.218,1,0,1,100,2,0,2,100,2,1
1.1.1.22,150,15,135,90,53588,26744,26844,50.09330447,336,1
1.1.1.23,94,56,38,40.42553191,30075,25148,4927,16.38237739,348,1
1.1.1.239,2,0,2,100,1232,0,1232,100,285,1
1.1.1.24,8,0,8,100,1118,0,1118,100,258,1
1.1.1.243,6,0,6,100,361,0,361,100,167,1
1.1.1.245,13,0,13,100,10740,0,10740,100,305,1
1.1.1.25,105,37,68,64.76190476,39987,22884,17103,42.77140071,346,1
1.1.1.250,4,0,4,100,246,0,246,100,111,1
1.1.1.252,1,0,1,100,3564,0,3564,100,329,1
1.1.1.255,1,0,1,100,14,0,14,100,14,1
1.1.1.26,3,0,3,100,561,0,561,100,193,1
1.1.1.261,1,0,1,100,97,0,97,100,77,1
1.1.1.262,82,21,61,74.3902439,35833,19101,16732,46.69438785,338,1
1.1.1.264,1,0,1,100,39,0,39,100,32,1
1.1.1.266,36,0,36,100,4564,0,4564,100,294,1
1.1.1.267,17,13,4,23.52941176,22080,19737,2343,10.61141304,332,1
1.1.1.268,2,0,2,100,298,0,298,100,112,1
1.1.1.27,17,2,15,88.23529412,5078,175,4903,96.55376132,306,1
1.1.1.270,21,0,21,100,1333,0,1333,100,286,1
1.1.1.271,5,3,2,40,4467,3853,614,13.74524289,298,1
1.1.1.28,12,0,12,100,4380,0,4380,100,310,1
1.1.1.281,4,0,4,100,662,0,662,100,204,1
1.1.1.283,1,0,1,100,360,0,360,100,143,1
1.1.1.284,3,0,3,100,7305,0,7305,100,319,1
1.1.1.286,3,0,3,100,2547,0,2547,100,302,1
1.1.1.29,23,0,23,100,6182,0,6182,100,313,1
1.1.1.290,9,6,3,33.33333333,4127,3772,355,8.601889993,304,1
1.1.1.292,1,0,1,100,551,0,551,100,168,1
1.1.1.299,1,0,1,100,17,0,17,100,16,1
1.1.1.3,63,10,53,84.12698413,32367,5988,26379,81.4996756,350,1
1.1.1.30,2,0,2,100,903,0,903,100,216,1
1.1.1.300,27,0,27,100,2566,0,2566,100,298,1
1.1.1.302,67,0,67,100,12584,0,12584,100,334,1
1.1.1.304,1,0,1,100,3446,0,3446,100,291,1
1.1.1.306,1,1,0,0,237,237,0,0,135,1
1.1.1.308,10,1,9,90,14468,7526,6942,47.98175283,343,1
1.1.1.31,40,1,39,97.5,8036,862,7174,89.27327028,333,1
1.1.1.310,3,0,3,100,701,0,701,100,225,1
1.1.1.311,1,0,1,100,225,0,225,100,119,1
1.1.1.312,7,0,7,100,1659,0,1659,100,250,1
1.1.1.320,6,0,6,100,564,0,564,100,155,1
1.1.1.327,4,0,4,100,499,0,499,100,155,1
1.1.1.328,4,0,4,100,2283,0,2283,100,297,1
1.1.1.329,10,0,10,100,5870,0,5870,100,294,1
1.1.1.330,16,0,16,100,2551,0,2551,100,302,1
1.1.1.332,5,0,5,100,108,0,108,100,84,1
1.1.1.333,5,2,3,60,2397,382,2015,84.0634126,292,1
1.1.1.335,1,1,0,0,2159,2159,0,0,236,1
1.1.1.336,3,2,1,33.33333333,1374,1285,89,6.477438137,246,1
1.1.1.339,1,0,1,100,88,0,88,100,59,1
1.1.1.34,27,3,24,88.88888889,5234,640,4594,87.77225831,315,1
1.1.1.341,22,0,22,100,2790,0,2790,100,253,1
1.1.1.343,15,0,15,100,8055,0,8055,100,322,1
1.1.1.344,2,0,2,100,161,0,161,100,115,1
1.1.1.347,6,0,6,100,5525,0,5525,100,309,1
1.1.1.349,2,0,2,100,69,0,69,100,64,1
1.1.1.35,18,0,18,100,15898,0,15898,100,327,1
1.1.1.355,1,0,1,100,19,0,19,100,16,1
1.1.1.356,3,0,3,100,1625,0,1625,100,209,1
1.1.1.36,4,0,4,100,1016,0,1016,100,268,1
1.1.1.361,8,0,8,100,1171,0,1171,100,244,1
1.1.1.362,2,0,2,100,30,0,30,100,25,1
1.1.1.363,5,1,4,80,2017,142,1875,92.95984135,297,1
1.1.1.364,9,0,9,100,1378,0,1378,100,241,1
1.1.1.367,1,0,1,100,2097,0,2097,100,247,1
1.1.1.368,5,0,5,100,4060,0,4060,100,322,1
1.1.1.37,48,29,19,39.58333333,23343,21408,1935,8.289422953,347,1
