"sample_number","unknown_ratios","unknown_counts","total_counts","iteration"
5,0.807556461541567,40012,49547,1
5,0.848283841110683,65988,77790,2
5,0.834696929708806,56928,68202,3
5,0.817062880622203,44543,54516,4
5,0.840894888138983,53824,64008,5
5,0.832595231752797,50009,60064,6
5,0.859734131614998,67778,78836,7
5,0.802702702702703,40095,49950,8
5,0.830129726914889,54200,65291,9
5,0.815303662249441,46328,56823,10
5,0.832595047087548,47741,57340,11
5,0.793367171171999,34544,43541,12
5,0.840068333592173,54092,64390,13
5,0.815093078087061,46325,56834,14
5,0.862820603405638,73269,84918,15
5,0.817709286577108,44678,54638,16
5,0.810493469085672,40519,49993,17
5,0.841093037565278,53311,63383,18
5,0.829692575316738,53896,64959,19
5,0.843668723545311,66174,78436,20
5,0.778639569764614,28812,37003,21
5,0.814226005305647,42663,52397,22
5,0.827231778469724,54728,66158,23
5,0.839317541735262,61689,73499,24
5,0.789599172252463,35104,44458,25
5,0.808947883973372,40466,50023,26
5,0.830427626565881,54491,65618,27
5,0.795892024095294,35145,44158,28
5,0.824229877735903,46583,56517,29
5,0.823085314540008,47534,57751,30
5,0.833330807123911,54979,65975,31
5,0.813198828965469,46110,56702,32
5,0.851444412388204,67878,79721,33
5,0.84659764829919,57815,68291,34
5,0.836419062534959,59814,71512,35
5,0.802952650501033,41988,52292,36
5,0.83097481583005,48504,58370,37
5,0.814518574677786,42974,52760,38
5,0.854957955404384,72391,84672,39
5,0.835474991799421,58581,70117,40
5,0.84250022334058,56584,67162,41
5,0.82747619047619,52131,63000,42
5,0.836532213329107,52781,63095,43
5,0.802479845961787,37926,47261,44
5,0.811167662462197,43988,54228,45
5,0.813658858462554,49324,60620,46
5,0.807281256373649,39581,49030,47
5,0.78042995181144,31257,40051,48
5,0.825002246787094,45899,55635,49
5,0.807247753631794,40787,50526,50
5,0.819024993491278,50334,61456,51
5,0.855448737827948,68962,80615,52
5,0.85759558372521,67112,78256,53
5,0.789539007092199,35624,45120,54
5,0.847093198464381,64651,76321,55
5,0.825497777617172,45688,55346,56
5,0.841458320902202,56408,67036,57
5,0.817836925216009,41174,50345,58
5,0.805317848410758,36890,45808,59
5,0.801899167890357,40957,51075,60
5,0.840277082051209,58711,69871,61
5,0.854705661792276,59267,69342,62
5,0.793348446958188,33945,42787,63
5,0.819278286664276,50266,61354,64
5,0.843561735532161,55449,65732,65
5,0.836410430279867,54273,64888,66
5,0.815035865878297,43972,53951,67
5,0.834864764127247,51517,61707,68
5,0.825516265912306,43773,53025,69
5,0.838362231294157,55653,66383,70
5,0.83766078582976,59587,71135,71
5,0.843918696897151,53934,63909,72
5,0.814218205003188,43419,53326,73
5,0.850082910406512,67670,79604,74
5,0.823032920657424,49926,60661,75
5,0.837475565484502,50983,60877,76
5,0.838079362874473,54300,64791,77
5,0.848177903464233,65984,77795,78
5,0.79926241365961,39227,49079,79
5,0.808842704969006,40320,49849,80
5,0.837794682533705,55617,66385,81
5,0.826200016354567,50518,61145,82
5,0.841431448831498,60992,72486,83
5,0.836749291991475,57319,68502,84
5,0.829653341661462,53131,64040,85
5,0.840284663361586,52543,62530,86
5,0.847430660073103,59121,69765,87
5,0.835619573457682,58419,69911,88
5,0.8237465395263,50882,61769,89
5,0.8209360701576,51673,62944,90
5,0.818949028556089,48811,59602,91
5,0.806550792635246,45383,56268,92
5,0.817643255334394,46788,57223,93
5,0.806176677027976,40200,49865,94
5,0.818854104306793,46506,56794,95
5,0.855327736116993,68664,80278,96
5,0.819308422480036,43502,53096,97
5,0.809091226112429,46403,57352,98
5,0.832930219627467,59921,71940,99
5,0.818221099514724,49234,60172,100
10,0.833038797205079,61280,73562,1
10,0.863844164071161,81819,94715,2
10,0.839300080450523,66768,79552,3
10,0.853255265434806,71990,84371,4
10,0.860727554717069,74366,86399,5
10,0.849329758713137,69696,82060,6
10,0.839204796465762,66486,79225,7
10,0.848026493646932,62737,73980,8
10,0.861553702633534,73052,84791,9
10,0.84939547179879,70042,82461,10
10,0.83800689673608,62698,74818,11
10,0.840558294488252,62572,74441,12
10,0.863118217120472,75793,87813,13
10,0.867429631268903,82313,94893,14
10,0.852717440086168,76001,89128,15
10,0.832242781412951,57617,69231,16
10,0.866049947069579,71993,83128,17
10,0.847531925504968,64576,76193,18
10,0.866315351546249,81211,93743,19
10,0.852476030443807,68996,80936,20
10,0.84559284927419,60640,71713,21
10,0.856801364597348,71327,83248,22
10,0.856102953682181,75504,88195,23
10,0.870764076794228,81096,93132,24
10,0.863492941586248,84289,97614,25
10,0.856111746406482,69625,81327,26
10,0.837826765201771,53171,63463,27
10,0.834697060916206,61003,73084,28
10,0.868369435442606,81460,93808,29
10,0.84351210502012,63934,75795,30
10,0.854623138902443,71808,84023,31
10,0.843706638820147,58981,69907,32
10,0.845625517384106,65377,77312,33
10,0.862293979145644,76908,89190,34
10,0.867049238695625,82798,95494,35
10,0.855068419890017,73547,86013,36
10,0.863120752125417,72894,84454,37
10,0.848545198426191,69876,82348,38
10,0.8323187133675,58790,70634,39
10,0.845104766225297,59612,70538,40
10,0.824929926866201,51210,62078,41
10,0.835548851830446,59273,70939,42
10,0.868922394863966,83102,95638,43
10,0.853983887547513,71446,83662,44
10,0.860383666321738,75663,87941,45
10,0.830244201776774,59531,71703,46
10,0.837692740728536,61010,72831,47
10,0.851046513040415,70059,82321,48
10,0.837701827254299,59094,70543,49
10,0.861969564120735,71765,83257,50
10,0.831726269816511,58655,70522,51
10,0.848530759828886,66647,78544,52
10,0.845192465814074,66815,79053,53
10,0.844803353470596,68522,81110,54
10,0.864142244184379,78344,90661,55
10,0.859468392192211,80093,93189,56
10,0.867770169559906,77432,89231,57
10,0.852726157306817,66719,78242,58
10,0.859974452238677,79441,92376,59
10,0.858387776382712,80673,93982,60
10,0.857471527499571,74913,87365,61
10,0.830631878703918,53962,64965,62
10,0.826703659317387,50357,60913,63
10,0.840896987492264,58423,69477,64
10,0.849828852642734,69765,82093,65
10,0.860410715755075,73196,85071,66
10,0.835770588391412,62982,75358,67
10,0.854653968851899,72602,84949,68
10,0.849605164121602,66598,78387,69
10,0.850205947927295,67497,79389,70
10,0.864781149332072,76777,88782,71
10,0.829909132912367,53886,64930,72
10,0.85554131966688,69446,81172,73
10,0.843892522302024,63097,74769,74
10,0.859588961746102,74198,86318,75
10,0.847708089237464,70904,83642,76
10,0.859949643395173,81629,94923,77
10,0.855999818924639,75637,88361,78
10,0.852291180351162,67181,78824,79
10,0.863397980841578,76883,89047,80
10,0.873409957062556,86858,99447,81
10,0.870194365955989,81304,93432,82
10,0.854643500550135,70685,82707,83
10,0.841569612138049,63010,74872,84
10,0.83548614372945,56920,68128,85
10,0.844512279728042,60864,72070,86
10,0.835753532182104,59626,71344,87
10,0.863827744933354,79194,91678,88
10,0.870977455684259,86772,99626,89
10,0.840505021064625,63443,75482,90
10,0.846129584025815,69749,82433,91
10,0.83759455968792,63555,75878,92
10,0.849058253397282,67979,80064,93
10,0.829942412815341,56783,68418,94
10,0.832387584265501,56182,67495,95
10,0.851864027077702,69967,82134,96
10,0.865263491058712,82014,94785,97
10,0.841346527471958,64957,77206,98
10,0.858591306223708,79600,92710,99
10,0.856746088025339,72491,84612,100
15,0.853777030552496,73634,86245,1
15,0.860118756852401,79235,92121,2
15,0.86920484650148,89243,102672,3
15,0.844568333090414,69535,82332,4
15,0.855059560704586,75872,88733,5
15,0.854485413159785,79697,93269,6
15,0.860189698188288,81712,94993,7
15,0.855846368648981,72331,84514,8
15,0.861864496353451,81541,94610,9
15,0.867226942494767,84513,97452,10
15,0.866729788220745,89710,103504,11
15,0.850978762592514,75772,89041,12
15,0.868009167662442,88622,102098,13
15,0.859104141855234,77907,90684,14
15,0.851081860403689,77331,90862,15
15,0.873914514491936,92988,106404,16
15,0.848410618662413,74465,87770,17
15,0.869383559688211,91347,105071,18
15,0.861218261201306,81268,94364,19
15,0.875309429150101,93350,106648,20
15,0.852932132659785,77668,91060,21
15,0.867313743833985,81583,94064,22
15,0.869275639909455,79876,91888,23
15,0.862308189127191,77437,89802,24
15,0.858857343969967,73209,85240,25
15,0.865478187919463,82532,95360,26
15,0.865828891889941,83988,97003,27
15,0.86115487997034,83619,97101,28
15,0.870591979017,90283,103703,29
15,0.868539691621699,88043,101369,30
15,0.872666861192948,92713,106241,31
15,0.85506142387309,70717,82704,32
15,0.869959616659635,86601,99546,33
15,0.861215448328999,80478,93447,34
15,0.859251155657089,80114,93237,35
15,0.854303211419386,75470,88341,36
15,0.862313497571131,79526,92224,37
15,0.87181914904001,89317,102449,38
15,0.845444087909427,69821,82585,39
15,0.873283448632877,92782,106245,40
15,0.864991661811095,86103,99542,41
15,0.875224649278887,97886,111841,42
15,0.865855476068813,81335,93936,43
15,0.868334801401151,84779,97634,44
15,0.851926500722228,76083,89307,45
15,0.850419844300656,75047,88247,46
15,0.862405847692902,73621,85367,47
15,0.857331686493748,79130,92298,48
15,0.860364565966433,77407,89970,49
15,0.86598512435912,83946,96937,50
15,0.869171253996179,91894,105726,51
15,0.851498189002305,69822,81999,52
15,0.870017417766121,86913,99898,53
15,0.872551134469437,88988,101986,54
15,0.862367324062073,73854,85641,55
15,0.869145211122554,84394,97100,56
15,0.870339124276132,83563,96012,57
15,0.865036439952388,82848,95774,58
15,0.854752305738112,77385,90535,59
15,0.865448802316399,82196,94975,60
15,0.855351914109099,78872,92210,61
15,0.876070222292043,89226,101848,62
15,0.851659596848881,74487,87461,63
15,0.854765743975634,76334,89304,64
15,0.858122510496286,79711,92890,65
15,0.871438063597532,91806,105350,66
15,0.861461716160568,77193,89607,67
15,0.861945059768683,84437,97961,68
15,0.866297232226357,87075,100514,69
15,0.857650715014736,74788,87201,70
15,0.854671090214,77799,91028,71
15,0.853565753917168,73597,86223,72
15,0.858727476886589,81829,95291,73
15,0.863870742205423,79077,91538,74
15,0.86065410466933,82078,95367,75
15,0.865601080594327,76900,88840,76
15,0.867367993088377,85336,98385,77
15,0.860505621493085,82507,95882,78
15,0.862095014268927,82168,95312,79
15,0.871968813309595,85221,97734,80
15,0.866827150826107,89662,103437,81
15,0.856053953851407,70193,81996,82
15,0.84955680902498,73801,86870,83
15,0.862936221419976,78881,91410,84
15,0.857082407701259,72918,85077,85
15,0.855502895083946,76535,89462,86
15,0.867061163117815,89381,103085,87
15,0.874292476629941,95304,109007,88
15,0.867017205562237,87228,100607,89
15,0.849072425626338,65815,77514,90
15,0.873964627361607,91269,104431,91
15,0.875736209818628,93526,106797,92
15,0.836396123798469,64129,76673,93
15,0.8452388524903,66440,78605,94
15,0.848064316635745,68566,80850,95
15,0.866475462077756,78851,91002,96
15,0.866392610535414,86200,99493,97
15,0.847496402346777,68904,81303,98
15,0.860264333737003,82403,95788,99
15,0.866701574981006,84415,97398,100
20,0.865719656985453,86114,99471,1
20,0.867126218207749,87552,100968,2
20,0.875408288128571,90856,103787,3
20,0.871982163513564,93473,107196,4
20,0.876388036137181,99917,114010,5
20,0.867857559609475,89247,102836,6
20,0.872552800734619,95021,108900,7
20,0.872267800467094,87396,100194,8
20,0.87886588786706,99006,112652,9
20,0.866021142226864,88723,102449,10
20,0.871863467759532,91904,105411,11
20,0.869500018981815,91614,105364,12
20,0.868256998053615,92340,106351,13
20,0.859924440569602,82852,96348,14
20,0.873026462085835,94224,107928,15
20,0.870440062220884,86735,99645,16
20,0.864540609086766,87265,100938,17
20,0.860365583689992,81616,94862,18
20,0.874983780978331,94409,107898,19
20,0.865704149009559,87843,101470,20
20,0.869500211381611,84325,96981,21
20,0.871379601114533,95071,109104,22
20,0.880469358058949,104075,118204,23
20,0.870394006659267,94107,108120,24
20,0.866754565875574,88747,102390,25
20,0.873156670281493,94204,107889,26
20,0.861039807684472,84530,98172,27
20,0.857355060902479,77919,90883,28
20,0.877573494618568,102003,116233,29
20,0.845525386582248,69443,82130,30
20,0.877009610303535,97919,111651,31
20,0.873699052000816,94190,107806,32
20,0.883295500066765,105840,119824,33
20,0.86850221709743,92644,106671,34
20,0.870206084396467,88674,101900,35
20,0.876768309118258,100838,115011,36
20,0.873974875121151,93781,107304,37
20,0.853439147541714,76568,89717,38
20,0.852056890809254,75724,88872,39
20,0.872761796433551,95145,109016,40
20,0.870842891261458,92251,105933,41
20,0.869997914245702,87594,100683,42
20,0.865044858876124,84559,97751,43
20,0.877201579127412,94879,108161,44
20,0.8716055818803,93627,107419,45
20,0.873416927899687,97517,111650,46
20,0.86370175638332,83450,96619,47
20,0.879359477700825,99671,113345,48
20,0.86912100456621,91362,105120,49
20,0.87145597953528,89936,103202,50
20,0.872344068022294,91720,105142,51
20,0.866658584144111,85781,98979,52
20,0.877491050404885,91675,104474,53
20,0.876200710764213,92950,106083,54
20,0.871064172726591,92953,106712,55
20,0.852731420338576,71024,83290,56
20,0.868238859780316,87660,100963,57
20,0.859293398085434,79800,92867,58
20,0.855780468421299,73224,85564,59
20,0.871181761934225,91522,105055,60
20,0.867194624430046,90340,104175,61
20,0.871620148277366,95934,110064,62
20,0.871316582162435,93142,106898,63
20,0.874204543394311,96437,110314,64
20,0.861154778446029,84909,98599,65
20,0.874991003310782,97257,111152,66
20,0.8725104320414,95765,109758,67
20,0.878988412790105,103471,117716,68
20,0.876299088610011,91823,104785,69
20,0.870195864647015,89390,102724,70
20,0.857611708615146,77348,90190,71
20,0.874263204807499,91218,104337,72
20,0.869871513392772,91126,104758,73
20,0.868226002430134,85746,98760,74
20,0.871958333722244,93419,107137,75
20,0.869470827679783,92916,106865,76
20,0.86852975724354,88729,102160,77
20,0.876639451250799,97385,111089,78
20,0.876502830442987,97546,111290,79
20,0.859910657568492,83929,97602,80
20,0.865183390241216,86405,99869,81
20,0.872001840404889,87181,99978,82
20,0.865686405836227,84014,97049,83
20,0.877035061399122,94704,107982,84
20,0.871204531623051,93049,106805,85
20,0.859555385936456,81081,94329,86
20,0.866115668496474,84254,97278,87
20,0.880310880829016,100241,113870,88
20,0.874247277386291,95529,109270,89
20,0.871004621510856,89899,103213,90
20,0.858142374671346,78006,90901,91
20,0.871391201405331,91273,104744,92
20,0.866877924245284,87266,100667,93
20,0.873174566473988,94412,108125,94
20,0.868699064292182,89218,102703,95
20,0.874801784858207,94888,108468,96
20,0.865512727272727,89256,103125,97
20,0.857392072430164,77654,90570,98
20,0.876642421931043,96542,110127,99
20,0.87291999197148,91331,104627,100
25,0.878166044425345,98085,111693,1
25,0.871694936963642,95278,109302,2
25,0.884084248174457,106785,120786,3
25,0.865431554183208,88287,102015,4
25,0.877350658725862,97228,110820,5
25,0.878125326917041,100728,114708,6
25,0.870502291825821,91159,104720,7
25,0.870954506823488,89157,102367,8
25,0.880653770343107,100974,114658,9
25,0.868388222382726,92578,106609,10
25,0.880335130309377,102552,116492,11
25,0.879292327436062,95922,109090,12
25,0.870279435835612,88792,102027,13
25,0.869193328697839,91254,104987,14
25,0.876777251184834,100825,114995,15
25,0.880893156707352,106596,121009,16
25,0.875066415712832,97170,111043,17
25,0.872651112512386,96873,111010,18
25,0.873600340545242,94403,108062,19
25,0.874876404494382,97330,111250,20
25,0.874071545225551,94731,108379,21
25,0.875328071818747,94384,107827,22
25,0.8759663453541,100052,114219,23
25,0.880461113652149,103949,118062,24
25,0.878363258564654,98916,112614,25
25,0.876431409756602,93297,106451,26
25,0.882849254745461,102648,116269,27
25,0.875395481978429,98777,112837,28
25,0.879765806650419,94215,107091,29
25,0.873493641361693,94374,108042,30
25,0.881093946007252,102547,116386,31
25,0.876684183117928,92591,105615,32
25,0.870639322726609,95436,109616,33
25,0.878920110001648,101314,115271,34
25,0.880123143047193,103205,117262,35
25,0.884012323958771,103006,116521,36
25,0.876758756172239,99079,113006,37
25,0.872425074540297,96266,110343,38
25,0.872970678739433,98726,113092,39
25,0.873363027765183,98235,112479,40
25,0.876392558972513,99829,113909,41
25,0.877582017010936,101115,115220,42
25,0.875550027795837,92923,106131,43
25,0.868525407406009,91989,105914,44
25,0.873230951824345,97119,111218,45
25,0.881139622385682,103978,118004,46
25,0.868406846083097,86865,100028,47
25,0.874737048525689,98135,112188,48
25,0.882490947110726,103818,117642,49
25,0.881128600133958,105242,119440,50
25,0.865333413408604,86452,99906,51
25,0.875893495353824,98030,111920,52
25,0.880851525031837,97527,110719,53
25,0.876847161572052,100399,114500,54
25,0.880444949225013,105428,119744,55
25,0.874363374413846,95282,108973,56
25,0.881854732401793,107036,121376,57
25,0.876286741907479,98917,112882,58
25,0.875683743723362,101497,115906,59
25,0.861942940441483,82781,96040,60
25,0.874968478691596,97153,111036,61
25,0.881211708645337,106149,120458,62
25,0.877401050294294,99578,113492,63
25,0.865950964746845,89535,103395,64
25,0.872435460670755,92192,105672,65
25,0.879754189367141,102216,116187,66
25,0.874305716786027,97910,111986,67
25,0.867405556426405,94071,108451,68
25,0.877103809548508,101466,115683,69
25,0.862019279553526,84952,98550,70
25,0.863289539922416,87459,101309,71
25,0.871825644032394,95165,109156,72
25,0.878423159513268,99405,113163,73
25,0.874077756962879,98450,112633,74
25,0.885736749000852,108152,122104,75
25,0.874279591819101,101183,115733,76
25,0.879713440383484,100202,113903,77
25,0.871859992611747,94405,108280,78
25,0.877535386287313,98513,112261,79
25,0.868116480438945,91134,104979,80
25,0.870275664213546,90701,104221,81
25,0.873403884847547,90289,103376,82
25,0.872462787550744,98002,112328,83
25,0.871681075148738,90545,103874,84
25,0.867462242033346,86211,99383,85
25,0.856238459509364,81150,94775,86
25,0.873076065134954,90022,103109,87
25,0.88187521193625,104026,117960,88
25,0.869395429563205,90165,103710,89
25,0.877616151536787,102022,116249,90
25,0.87946504602863,98114,111561,91
25,0.879092507141288,96018,109224,92
25,0.873431831737868,89325,102269,93
25,0.877435064935065,99452,113344,94
25,0.870463665812503,90019,103415,95
25,0.876893542757417,100492,114600,96
25,0.876337262012693,101493,115815,97
25,0.867655436597584,88336,101810,98
25,0.870345239387689,96201,110532,99
25,0.879159339772505,103492,117717,100
30,0.879535797426289,101633,115553,1
30,0.873648784592029,95530,109346,2
30,0.882043527393641,108494,123003,3
30,0.867511565150347,90013,103760,4
30,0.870193533762149,92130,105873,5
30,0.881344893556397,108260,122835,6
30,0.880051098199201,106781,121335,7
30,0.878238459514152,96781,110199,8
